,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
25,25,Nigeria,NG,Gombe,No,No NEPZA free zone in Gombe as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–80,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
26,26,Nigeria,NG,Imo,Yes,Imo-Guangdong Free Trade Zone (Ngor Okpala LGA) — NEPZA-licensed. Source: NEPZA; AFZA,VAT exempt within zone. Source: NEPZA Act 63/1992,"0% — full tax holiday on all taxes, levies and rates. Source: NEPZA Act 63/1992","State Business Premises Levy + LGA levy. Owerri commercial. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,High,Information unavailable,Medium–High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–Low,Information unavailable,Information unavailable,Information unavailable,High,Low,Medium,Medium–High,Information unavailable,Slow,Low,High,Medium,Information unavailable,High,High (English),Medium–High,Medium,Medium,Information unavailable,Medium,Medium,Medium,Medium,Information unavailable,Medium,Medium,Medium–High,Medium,Medium,Medium,Medium,Medium,Medium,"Trade, SMEs",Low–Medium,High,Information unavailable,Low,Low–Medium,Medium,Medium
27,27,Nigeria,NG,Jigawa,Yes,Maigatari Border Free Zone (Jigawa State) — NEPZA-licensed. Source: NEPZA; AFZA,VAT exempt within zone. Source: NEPZA Act 63/1992,0% — full tax holiday. Source: NEPZA Act 63/1992; AFZA,"State Business Premises Levy + LGA levy. Northern low-income economy. Estimated NGN 15,000–80,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
28,28,Nigeria,NG,Kaduna,No,No NEPZA free zone operational in Kaduna as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Northern industrial base. Estimated NGN 40,000–200,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Low,Very High,Low–Medium,Information unavailable,Medium,High (English),Medium,Low,Low–Medium,Information unavailable,Low,High,Very Low,High,Information unavailable,High,High,High,High,Medium,Medium,Medium,Low,Medium,"Trade, informal economy",Very Low,Very High,Information unavailable,Very Low,Low–Medium,High,High
29,29,Nigeria,NG,Kano,Yes,Kano Free Trade Zone (KFTZ) — NEPZA-licensed; behind Aminu Kano International Airport. Agricultural processing and manufacturing focus. Source: NEPZA; AFZA 2024,VAT exempt within zone. Source: NEPZA Act 63/1992; AFZA,"0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992","State Business Premises Levy + LGA levy. Largest northern commercial city. Estimated NGN 50,000–300,000/yr. World Bank Doing Business 2020 benchmarked Kano separately. Source: Business Premises Registration Act; World Bank Doing Business Nigeria 2020",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Low,Very High,Low–Medium,Information unavailable,Medium,High (English),Medium,Low,Low–Medium,Information unavailable,Low,High,Very Low,High,Information unavailable,High,High,High,High,Medium,Medium,Medium,Low,Medium,"Trade, informal economy",Very Low,Very High,Information unavailable,Very Low,Low–Medium,High,High
30,30,Nigeria,NG,Katsina,No,No NEPZA free zone in Katsina as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Information unavailable,High (English),Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,High,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
31,31,Nigeria,NG,Kebbi,No,No NEPZA free zone in Kebbi as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 15,000–80,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Information unavailable,High (English),Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,High,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
32,32,Nigeria,NG,Kogi,No,No NEPZA free zone in Kogi as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Information unavailable,High (English),Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,High,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
33,33,Nigeria,NG,Kwara,No,No NEPZA free zone in Kwara as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Information unavailable,High (English),Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,High,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
34,34,Nigeria,NG,Lagos,Yes,Lekki Free Zone; Dangote Industries Free Zone; Snake Island Integrated Free Zone (Apapa); Lagos Free Trade Zone; LADOL Free Zone — multiple NEPZA-licensed zones. Source: NEPZA 2024,VAT exempt on goods/services within and between free zones. Source: NEPZA Act 63/1992; Finance Act 2019,"0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992 s.18","State Business Premises Levy + LGA levy. Highest in Nigeria; Lagos State IRS enforcement most active. Large commercial enterprise: NGN 200,000–1,000,000+/yr. Formal rate + development levy. Source: Lagos State Business Premises Levy Law; Lagos IRS 2024; World Bank Doing Business Nigeria 2020",State leasehold only (99-yr CoO); Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Information unavailable,High (English),Very Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,High,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Extreme,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
